########################################################################################################################                                                                                                     
#                            Information of the orbit of Hayabusa2                                                     #                                                                                                     
#                                                                                   JAXA Hayabusa2 Orbit Planning Team #                                                                                                     
########################################################################################################################                                                                                                     
# L+    : Total date counted from the launchÅiLaunch date & time (2014/12/3 4:22:04UT)  [day]                                                                                                                                              
# X,Y,Z : Coordinate value based on the ecliptic plane [km]                                                                                          
# Rs    : Distance between Hayabusa2 and the Sun       [10^4km]                                                                                                                                                     
# Re    : Distance between Hayabusa2 and the Earth     [10^4km]                                                                                                                                                     
# Ra    : Distance between Hayabusa2 and Ryugu         [10^4km]                                                                                                                                                     
# Vs    : Cruising speed of Hayabusa2 (relative to the velocity of the Sun)    [km/s]                                                                                                                                                   
# Ve    : Relative speed of Hayabusa2 to the Earth     [km/s]                                                                                                                                                   
# alpha : Right ascension of Hayabusa2 as seen from the Earth  [deg]                                                                                                                                                                 
# delta : Declination of Hayabusa2 as seen from the Earth      [deg]                                                                                                                                                                 
# Dflt  : Total flight distance of Hayabusa2           [10^4km]                                                                                                                                                                                                                                                                                                                                                           
#============================================================================================================================================================================================================================
#                             |-----------  Spacecraft  ----------|  |-----------    Earth    -----------| |-----------    Ryugu      ----------|                                                                           
#       UTC             L+        X            Y            Z            X            Y            Z            X            Y            Z            Rs         Re         Ra       Vs       Ve     alpha    delta   Dflt  
#                      [day]     [km]         [km]         [km]         [km]         [km]         [km]         [km]         [km]         [km]       [10^4km]   [10^4km]   [10^4km]  [km/s]   [km/s]   [deg]    [deg] [10^4km]
#--------1---------------2--------3------------4------------5------------6------------7------------8------------9------------10-----------11-----------12---------13---------14-------15-------16-------17-------18-----19---
2018/04/08.04:59:59   1222.0  111690000.0  108491000.0    7388000.0 -142394000.0  -46449000.0       2000.0  112071000.0  108590000.0    7424000.0   15588.37   29769.17      39.52   30.76   57.65    28.72    13.29 298563.7
2018/04/09.04:59:59   1223.0  109588000.0  110101000.0    7130000.0 -141617000.0  -48899000.0       2000.0  109955000.0  110198000.0    7164000.0   15550.83   29738.31      38.11   30.83   57.72    29.66    13.57 298829.8
2018/04/10.04:59:59   1224.0  107457000.0  111683000.0    6870000.0 -140799000.0  -51334000.0       2000.0  107810000.0  111777000.0    6903000.0   15513.66   29707.50      36.72   30.90   57.80    30.60    13.86 299096.4
2018/04/11.04:59:59   1225.0  105297000.0  113234000.0    6609000.0 -139939000.0  -53755000.0       2000.0  105637000.0  113327000.0    6640000.0   15476.88   29676.73      35.35   30.97   57.87    31.55    14.14 299363.7
2018/04/12.04:59:59   1226.0  103109000.0  114756000.0    6345000.0 -139038000.0  -56160000.0       3000.0  103435000.0  114847000.0    6376000.0   15440.50   29646.01      34.02   31.04   57.95    32.50    14.42 299631.5
2018/04/13.04:59:59   1227.0  100892000.0  116248000.0    6080000.0 -138096000.0  -58549000.0       3000.0  101206000.0  116336000.0    6109000.0   15404.52   29615.35      32.73   31.10   58.02    33.46    14.69 299900.0
2018/04/14.04:59:59   1228.0   98648000.0  117707000.0    5813000.0 -137113000.0  -60920000.0       3000.0   98950000.0  117793000.0    5841000.0   15368.97   29584.76      31.47   31.17   58.10    34.42    14.96 300169.0
2018/04/15.04:59:59   1229.0   96377000.0  119135000.0    5544000.0 -136089000.0  -63274000.0       3000.0   96666000.0  119219000.0    5571000.0   15333.85   29554.24      30.25   31.24   58.17    35.39    15.23 300438.6
2018/04/16.04:59:59   1230.0   94079000.0  120531000.0    5274000.0 -135026000.0  -65609000.0       3000.0   94357000.0  120612000.0    5300000.0   15299.19   29523.82      29.06   31.30   58.24    36.36    15.50 300708.8
2018/04/17.04:59:59   1231.0   91755000.0  121893000.0    5002000.0 -133922000.0  -67925000.0       3000.0   92021000.0  121972000.0    5028000.0   15264.99   29493.51      27.88   31.37   58.30    37.34    15.76 300979.6
2018/04/18.04:59:59   1232.0   89405000.0  123221000.0    4729000.0 -132780000.0  -70221000.0       3000.0   89660000.0  123298000.0    4753000.0   15231.28   29463.33      26.72   31.43   58.37    38.32    16.01 301250.9
2018/04/19.04:59:59   1233.0   87030000.0  124514000.0    4455000.0 -131598000.0  -72496000.0       3000.0   87274000.0  124589000.0    4478000.0   15198.06   29433.26      25.60   31.50   58.44    39.31    16.27 301522.7
2018/04/20.04:59:59   1234.0   84630000.0  125773000.0    4179000.0 -130378000.0  -74749000.0       3000.0   84863000.0  125846000.0    4201000.0   15165.34   29403.34      24.51   31.56   58.50    40.30    16.52 301795.1
2018/04/21.04:59:59   1235.0   82206000.0  126996000.0    3903000.0 -129119000.0  -76980000.0       4000.0   82428000.0  127067000.0    3924000.0   15133.14   29373.57      23.46   31.62   58.56    41.29    16.76 302068.1
2018/04/22.04:59:59   1236.0   79757000.0  128183000.0    3625000.0 -127823000.0  -79189000.0       4000.0   79970000.0  128252000.0    3645000.0   15101.47   29343.98      22.44   31.69   58.62    42.29    17.00 302341.6
2018/04/23.04:59:59   1237.0   77286000.0  129333000.0    3345000.0 -126490000.0  -81375000.0       4000.0   77489000.0  129400000.0    3365000.0   15070.35   29314.58      21.44   31.74   58.68    43.29    17.24 302615.6
2018/04/24.04:59:59   1238.0   74792000.0  130446000.0    3065000.0 -125121000.0  -83536000.0       3000.0   74985000.0  130510000.0    3084000.0   15039.79   29285.41      20.46   31.80   58.73    44.30    17.47 302890.1
2018/04/25.04:59:59   1239.0   72276000.0  131521000.0    2784000.0 -123715000.0  -85673000.0       3000.0   72460000.0  131583000.0    2802000.0   15009.81   29256.46      19.49   31.86   58.79    45.32    17.70 303165.1
2018/04/26.04:59:59   1240.0   69739000.0  132557000.0    2503000.0 -122273000.0  -87785000.0       3000.0   69913000.0  132617000.0    2519000.0   14980.42   29227.77      18.56   31.92   58.85    46.33    17.92 303440.7
2018/04/27.04:59:59   1241.0   67180000.0  133554000.0    2220000.0 -120796000.0  -89872000.0       4000.0   67346000.0  133613000.0    2236000.0   14951.62   29199.33      17.67   31.98   58.90    47.36    18.14 303716.7
2018/04/28.04:59:59   1242.0   64602000.0  134512000.0    1937000.0 -119284000.0  -91932000.0       4000.0   64759000.0  134569000.0    1952000.0   14923.44   29171.17      16.81   32.03   58.95    48.38    18.35 303993.2
2018/04/29.04:59:59   1243.0   62004000.0  135430000.0    1653000.0 -117738000.0  -93966000.0       4000.0   62153000.0  135485000.0    1667000.0   14895.88   29143.30      15.98   32.09   59.01    49.41    18.56 304270.2
2018/04/30.04:59:59   1244.0   59387000.0  136308000.0    1368000.0 -116158000.0  -95973000.0       4000.0   59529000.0  136360000.0    1382000.0   14868.96   29115.75      15.18   32.14   59.06    50.45    18.76 304547.7
2018/05/01.04:59:59   1245.0   56752000.0  137144000.0    1084000.0 -114545000.0  -97952000.0       4000.0   56886000.0  137194000.0    1096000.0   14842.69   29088.54      14.38   32.19   59.10    51.49    18.96 304825.6
2018/05/02.04:59:59   1246.0   54100000.0  137939000.0     798000.0 -112898000.0  -99903000.0       4000.0   54226000.0  137987000.0     811000.0   14817.10   29061.66      13.60   32.24   59.16    52.53    19.15 305104.0
2018/05/03.04:59:59   1247.0   51430000.0  138691000.0     513000.0 -111219000.0 -101825000.0       4000.0   51550000.0  138738000.0     524000.0   14792.17   29035.14      12.85   32.29   59.21    53.58    19.34 305382.8
2018/05/04.04:59:59   1248.0   48745000.0  139402000.0     227000.0 -109508000.0 -103718000.0       4000.0   48858000.0  139446000.0     238000.0   14767.94   29008.97      12.15   32.34   59.25    54.63    19.52 305662.0
2018/05/05.04:59:59   1249.0   46045000.0  140069000.0     -57000.0 -107765000.0 -105581000.0       4000.0   46151000.0  140112000.0     -47000.0   14744.40   28983.16      11.47   32.39   59.30    55.69    19.69 305941.6
2018/05/06.04:59:59   1250.0   43329000.0  140694000.0    -343000.0 -105991000.0 -107414000.0       4000.0   43429000.0  140735000.0    -334000.0   14721.58   28957.74      10.83   32.44   59.35    56.75    19.86 306221.7
2018/05/07.04:59:59   1251.0   40600000.0  141275000.0    -629000.0 -104187000.0 -109216000.0       5000.0   40694000.0  141313000.0    -620000.0   14699.48   28932.72      10.21   32.48   59.39    57.82    20.02 306502.2
2018/05/08.04:59:59   1252.0   37859000.0  141811000.0    -914000.0 -102352000.0 -110987000.0       5000.0   37947000.0  141848000.0    -906000.0   14678.12   28908.10       9.60   32.52   59.43    58.89    20.18 306783.0
2018/05/09.04:59:59   1253.0   35105000.0  142303000.0   -1200000.0 -100488000.0 -112727000.0       5000.0   35188000.0  142339000.0   -1192000.0   14657.51   28883.90       9.00   32.57   59.48    59.96    20.33 307064.2
2018/05/10.04:59:59   1254.0   32340000.0  142751000.0   -1485000.0  -98594000.0 -114434000.0       5000.0   32417000.0  142784000.0   -1477000.0   14637.66   28860.12       8.43   32.61   59.52    61.04    20.47 307345.7
2018/05/11.04:59:59   1255.0   29565000.0  143153000.0   -1769000.0  -96672000.0 -116108000.0       5000.0   29636000.0  143185000.0   -1762000.0   14618.58   28836.78       7.87   32.64   59.55    62.12    20.61 307627.6
2018/05/12.04:59:59   1256.0   26780000.0  143510000.0   -2053000.0  -94722000.0 -117748000.0       5000.0   26846000.0  143540000.0   -2046000.0   14600.28   28813.88       7.31   32.68   59.59    63.20    20.74 307909.8
2018/05/13.04:59:59   1257.0   23987000.0  143822000.0   -2336000.0  -92745000.0 -119355000.0       5000.0   24048000.0  143850000.0   -2330000.0   14582.77   28791.44       6.74   32.71   59.62    64.29    20.86 308192.3
2018/05/14.04:59:59   1258.0   21186000.0  144087000.0   -2618000.0  -90740000.0 -120928000.0       5000.0   21242000.0  144113000.0   -2613000.0   14566.06   28769.46       6.18   32.74   59.65    65.38    20.98 308475.0
2018/05/15.04:59:59   1259.0   18378000.0  144307000.0   -2900000.0  -88710000.0 -122466000.0       5000.0   18429000.0  144331000.0   -2895000.0   14550.16   28747.94       5.62   32.77   59.68    66.47    21.09 308758.0
2018/05/16.04:59:59   1260.0   15565000.0  144479000.0   -3181000.0  -86654000.0 -123968000.0       5000.0   15610000.0  144502000.0   -3177000.0   14535.06   28726.90       5.07   32.81   59.71    67.56    21.19 309041.3
2018/05/17.04:59:59   1261.0   12745000.0  144605000.0   -3460000.0  -84573000.0 -125435000.0       5000.0   12786000.0  144627000.0   -3457000.0   14520.79   28706.33       4.57   32.84   59.74    68.66    21.29 309324.9
2018/05/18.04:59:59   1262.0    9922000.0  144685000.0   -3739000.0  -82468000.0 -126865000.0       5000.0    9958000.0  144704000.0   -3736000.0   14507.34   28686.24       4.10   32.87   59.77    69.76    21.38 309608.8
2018/05/19.04:59:59   1263.0    7094000.0  144717000.0   -4017000.0  -80339000.0 -128259000.0       5000.0    7126000.0  144735000.0   -4014000.0   14494.72   28666.64       3.66   32.90   59.79    70.87    21.46 309892.9
2018/05/20.04:59:59   1264.0    4264000.0  144702000.0   -4293000.0  -78187000.0 -129616000.0       5000.0    4293000.0  144719000.0   -4290000.0   14482.94   28647.56       3.26   32.92   59.81    71.98    21.54 310177.2
2018/05/21.04:59:59   1265.0    1433000.0  144640000.0   -4568000.0  -76013000.0 -130936000.0       5000.0    1457000.0  144656000.0   -4565000.0   14472.02   28629.02       2.89   32.95   59.83    73.08    21.61 310461.8
2018/05/22.04:59:59   1266.0   -1398000.0  144531000.0   -4841000.0  -73818000.0 -132219000.0       5000.0   -1377000.0  144545000.0   -4839000.0   14461.96   28611.03       2.51   32.96   59.84    74.20    21.67 310746.5
2018/05/23.04:59:59   1267.0   -4230000.0  144375000.0   -5113000.0  -71601000.0 -133463000.0       5000.0   -4212000.0  144387000.0   -5111000.0   14452.75   28593.61       2.16   32.99   59.86    75.31    21.72 311031.4
2018/05/24.04:59:59   1268.0   -7061000.0  144171000.0   -5383000.0  -69365000.0 -134669000.0       5000.0   -7046000.0  144182000.0   -5382000.0   14444.42   28576.76       1.85   33.01   59.87    76.42    21.77 311316.5
2018/05/25.04:59:59   1269.0   -9889000.0  143919000.0   -5651000.0  -67109000.0 -135837000.0       5000.0   -9877000.0  143929000.0   -5650000.0   14436.95   28560.50       1.57   33.03   59.89    77.54    21.81 311601.8
2018/05/26.04:59:59   1270.0  -12715000.0  143620000.0   -5918000.0  -64834000.0 -136967000.0       5000.0  -12705000.0  143629000.0   -5917000.0   14430.36   28544.85       1.33   33.04   59.90    78.66    21.84 311887.2
2018/05/27.04:59:59   1271.0  -15537000.0  143273000.0   -6182000.0  -62541000.0 -138057000.0       5000.0  -15529000.0  143281000.0   -6182000.0   14424.65   28529.82       1.12   33.06   59.91    79.77    21.86 312172.7
2018/05/28.04:59:59   1272.0  -18354000.0  142880000.0   -6445000.0  -60231000.0 -139108000.0       5000.0  -18348000.0  142887000.0   -6445000.0   14419.84   28515.44       0.93   33.07   59.91    80.89    21.88 312458.4
2018/05/29.04:59:59   1273.0  -21165000.0  142439000.0   -6705000.0  -57903000.0 -140120000.0       5000.0  -21161000.0  142445000.0   -6705000.0   14415.91   28501.71       0.75   33.07   59.92    82.02    21.88 312744.1
2018/05/30.04:59:59   1274.0  -23970000.0  141950000.0   -6964000.0  -55559000.0 -141093000.0       5000.0  -23967000.0  141956000.0   -6964000.0   14412.89   28488.65       0.59   33.08   59.93    83.14    21.89 313029.9
2018/05/31.04:59:59   1275.0  -26766000.0  141415000.0   -7220000.0  -53199000.0 -142025000.0       6000.0  -26765000.0  141419000.0   -7220000.0   14410.75   28476.26       0.47   33.09   59.93    84.26    21.88 313315.8
2018/06/01.04:59:59   1276.0  -29554000.0  140833000.0   -7473000.0  -50825000.0 -142917000.0       6000.0  -29554000.0  140837000.0   -7474000.0   14409.50   28464.55       0.39   33.10   59.94    85.38    21.86 313601.8
2018/06/02.04:59:59   1277.0  -32333000.0  140204000.0   -7725000.0  -48435000.0 -143769000.0       6000.0  -32333000.0  140207000.0   -7725000.0   14409.16   28453.52       0.34   33.10   59.94    86.50    21.84 313887.8
2018/06/03.04:59:59   1278.0  -35101000.0  139528000.0   -7973000.0  -46032000.0 -144581000.0       6000.0  -35101000.0  139531000.0   -7973000.0   14409.72   28443.20       0.31   33.11   59.95    87.63    21.81 314173.8
2018/06/04.04:59:59   1279.0  -37858000.0  138806000.0   -8219000.0  -43616000.0 -145351000.0       6000.0  -37858000.0  138809000.0   -8220000.0   14411.18   28433.58       0.29   33.11   59.94    88.75    21.78 314459.8
2018/06/05.04:59:59   1280.0  -40603000.0  138039000.0   -8463000.0  -41187000.0 -146081000.0       6000.0  -40603000.0  138041000.0   -8463000.0   14413.54   28424.70       0.27   33.10   59.94    89.87    21.73 314745.9
2018/06/06.04:59:59   1281.0  -43333000.0  137225000.0   -8703000.0  -38747000.0 -146769000.0       6000.0  -43333000.0  137228000.0   -8703000.0   14416.82   28416.55       0.24   33.09   59.94    91.00    21.68 315031.8
2018/06/07.04:59:59   1282.0  -46050000.0  136366000.0   -8941000.0  -36295000.0 -147416000.0       6000.0  -46050000.0  136369000.0   -8941000.0   14420.99   28409.14       0.22   33.09   59.93    92.12    21.62 315317.7
2018/06/08.04:59:59   1283.0  -48751000.0  135462000.0   -9176000.0  -33833000.0 -148021000.0       6000.0  -48751000.0  135464000.0   -9176000.0   14426.07   28402.48       0.20   33.08   59.92    93.24    21.55 315603.5
2018/06/09.04:59:59   1284.0  -51437000.0  134514000.0   -9407000.0  -31360000.0 -148584000.0       6000.0  -51437000.0  134516000.0   -9408000.0   14432.05   28396.57       0.18   33.07   59.92    94.36    21.48 315889.3
2018/06/10.04:59:59   1285.0  -54105000.0  133521000.0   -9636000.0  -28879000.0 -149105000.0       6000.0  -54105000.0  133523000.0   -9636000.0   14438.92   28391.41       0.16   33.05   59.91    95.48    21.40 316174.9
2018/06/11.04:59:59   1286.0  -56756000.0  132484000.0   -9861000.0  -26389000.0 -149584000.0       6000.0  -56755000.0  132485000.0   -9862000.0   14446.68   28387.01       0.14   33.04   59.89    96.59    21.31 316460.4
2018/06/12.04:59:59   1287.0  -59387000.0  131404000.0  -10084000.0  -23892000.0 -150020000.0       6000.0  -59387000.0  131405000.0  -10084000.0   14455.34   28383.36       0.12   33.02   59.88    97.71    21.21 316745.8
2018/06/13.04:59:59   1288.0  -62000000.0  130280000.0  -10303000.0  -21388000.0 -150414000.0       6000.0  -62000000.0  130281000.0  -10303000.0   14464.88   28380.48       0.10   33.00   59.87    98.82    21.11 317031.0
2018/06/14.04:59:59   1289.0  -64592000.0  129114000.0  -10518000.0  -18878000.0 -150764000.0       6000.0  -64592000.0  129115000.0  -10518000.0   14475.29   28378.36       0.08   32.98   59.85    99.94    20.99 317316.0
2018/06/15.04:59:59   1290.0  -67163000.0  127906000.0  -10730000.0  -16362000.0 -151072000.0       6000.0  -67163000.0  127906000.0  -10730000.0   14486.58   28377.01       0.06   32.96   59.83   101.05    20.88 317600.9
2018/06/16.04:59:59   1291.0  -69712000.0  126656000.0  -10939000.0  -13842000.0 -151338000.0       6000.0  -69712000.0  126656000.0  -10939000.0   14498.74   28376.43       0.04   32.94   59.81   102.15    20.75 317885.6
2018/06/17.04:59:59   1292.0  -72239000.0  125365000.0  -11144000.0  -11318000.0 -151560000.0       6000.0  -72238000.0  125365000.0  -11144000.0   14511.76   28376.64       0.02   32.91   59.79   103.26    20.62 318170.0
2018/06/18.04:59:59   1293.0  -74742000.0  124033000.0  -11345000.0   -8791000.0 -151739000.0       6000.0  -74742000.0  124033000.0  -11345000.0   14525.64   28377.64       0.02   32.89   59.76   104.36    20.48 318454.3
2018/06/19.04:59:59   1294.0  -77221000.0  122661000.0  -11543000.0   -6262000.0 -151875000.0       6000.0  -77220000.0  122661000.0  -11543000.0   14540.36   28379.43       0.04   32.86   59.73   105.47    20.33 318738.3
2018/06/20.04:59:59   1295.0  -79675000.0  121249000.0  -11737000.0   -3731000.0 -151968000.0       6000.0  -79674000.0  121249000.0  -11737000.0   14555.87   28381.98       0.03   32.83   59.71   106.56    20.18 319022.1
2018/06/21.04:59:59   1296.0  -82103000.0  119798000.0  -11927000.0   -1199000.0 -152019000.0       6000.0  -82103000.0  119799000.0  -11927000.0   14572.25   28385.38       0.03   32.80   59.68   107.66    20.02 319305.6
2018/06/22.04:59:59   1297.0  -84505000.0  118310000.0  -12114000.0    1331000.0 -152026000.0       6000.0  -84505000.0  118310000.0  -12114000.0   14589.45   28389.62       0.03   32.76   59.65   108.75    19.85 319588.8
2018/06/23.04:59:59   1298.0  -86880000.0  116783000.0  -12296000.0    3862000.0 -151991000.0       6000.0  -86880000.0  116783000.0  -12296000.0   14607.48   28394.69       0.03   32.73   59.61   109.84    19.68 319871.8
2018/06/24.04:59:59   1299.0  -89228000.0  115219000.0  -12475000.0    6392000.0 -151913000.0       6000.0  -89228000.0  115219000.0  -12475000.0   14626.31   28400.60       0.03   32.69   59.58   110.93    19.50 320154.4
2018/06/25.04:59:59   1300.0  -91547000.0  113619000.0  -12650000.0    8920000.0 -151793000.0       6000.0  -91547000.0  113619000.0  -12650000.0   14645.94   28407.38       0.03   32.66   59.55   112.01    19.32 320436.7
2018/06/26.04:59:59   1301.0  -93838000.0  111983000.0  -12820000.0   11445000.0 -151630000.0       6000.0  -93837000.0  111983000.0  -12820000.0   14666.36   28415.01       0.03   32.62   59.52   113.09    19.12 320718.7
2018/06/27.04:59:59   1302.0  -96099000.0  110311000.0  -12987000.0   13967000.0 -151424000.0       6000.0  -96098000.0  110312000.0  -12987000.0   14687.56   28423.50       0.03   32.58   59.48   114.17    18.93 321000.4
2018/06/28.04:59:59   1303.0  -98330000.0  108606000.0  -13150000.0   16485000.0 -151176000.0       6000.0  -98329000.0  108606000.0  -13150000.0   14709.53   28432.87       0.03   32.54   59.45   115.24    18.72 321281.7
2018/06/29.04:59:59   1304.0 -100530000.0  106866000.0  -13308000.0   18998000.0 -150886000.0       6000.0 -100530000.0  106866000.0  -13308000.0   14732.26   28443.10       0.03   32.49   59.41   116.31    18.51 321562.6
2018/06/30.04:59:59   1305.0 -102699000.0  105094000.0  -13462000.0   21506000.0 -150553000.0       6000.0 -102699000.0  105094000.0  -13462000.0   14755.75   28454.22       0.03   32.45   59.38   117.37    18.30 321843.2
